n,m,l,S,nonlinear_gain,linearity_score,mse_full,mse_linear,gain_mean,gain_std,steps_used,steps_mean,converged,n_converged,n_seeds,n_runs
16,2,1,0.85,0.0,1.0,0.03320332616567612,0.03320332616567612,0.0,0.0,8000,8000.0,True,12,12,1
16,2,1,0.9,0.0,1.0,0.02133789099752903,0.02133789099752903,0.0,0.0,8000,8000.0,True,12,12,1
16,2,1,0.95,0.0,1.0,0.010458474047482014,0.010458474047482014,0.0,0.0,8000,8000.0,True,12,12,1
16,2,2,0.85,0.5632929801940918,0.7521082162857056,0.021709969267249107,0.049712907522916794,0.6354314182934008,0.23285085350012083,72000,48315.78947368421,True,38,38,2
16,2,2,0.9,0.986161470413208,0.7261734008789062,0.010379324667155743,0.7500292062759399,0.6524845785564847,0.18745099909749774,72000,52000.0,True,45,45,2
16,2,2,0.95,0.9702271223068237,0.8566699028015137,0.0029798841569572687,0.10008729249238968,0.6251062227620019,0.18917963120717418,72000,52000.0,True,45,45,2
16,2,3,0.85,0.8554055094718933,0.6545959115028381,0.011241008527576923,0.07774166762828827,0.7828825407558018,0.05942262043187998,72000,52000.0,True,45,45,2
16,2,3,0.9,0.9480645656585693,0.7189894914627075,0.006880465894937515,0.1324813961982727,0.8484167007605234,0.14847082229647832,72000,60000.0,True,75,75,2
16,2,3,0.95,0.926518976688385,0.8436806201934814,0.0020952566992491484,0.028514372184872627,0.7027593644460043,0.26015645921224273,72000,60000.0,True,75,75,2
16,2,4,0.85,0.8895240426063538,0.5976395606994629,0.00866229459643364,0.07840897142887115,0.8243120137382957,0.06949528323964559,72000,61411.76470588235,True,85,85,3
16,2,4,0.9,0.9822019338607788,0.6719210147857666,0.005941588897258043,0.33383405208587646,0.8470367309839829,0.15127025586294415,72000,64173.913043478264,True,115,115,3
16,2,4,0.95,0.9272992014884949,0.7953693270683289,0.0018399704713374376,0.02530892752110958,0.5682881060501803,0.3654329887762036,72000,64173.913043478264,True,115,115,3
16,4,1,0.85,0.0,1.0,0.019966956228017807,0.019966956228017807,0.0,0.0,8000,8000.0,True,12,12,1
16,4,1,0.9,0.0,1.0,0.011252859607338905,0.011252859607338905,0.0,0.0,8000,8000.0,True,12,12,1
16,4,1,0.95,0.0,1.0,0.004674803465604782,0.004674803465604782,0.0,0.0,8000,8000.0,True,12,12,1
16,4,2,0.85,0.9994754195213318,0.7833619713783264,0.008294422179460526,15.81086540222168,0.9860905647277832,0.02696972491578594,72000,52000.0,True,45,45,2
16,4,2,0.9,0.9971566200256348,0.8551366329193115,0.0042733740992844105,1.502923607826233,0.9876605828603109,0.03025413210225774,72000,52000.0,True,45,45,2
16,4,2,0.95,0.9828563332557678,0.8922094106674194,0.001267261803150177,0.07392042130231857,0.8577674155433973,0.1847050883275471,72000,52000.0,True,45,45,2
16,4,3,0.85,0.9982647895812988,0.7421360015869141,0.006220743525773287,3.585031747817993,0.9401777203877767,0.08435055192422022,72000,60000.0,True,75,75,2
16,4,3,0.9,0.9982046484947205,0.8758928179740906,0.0027157305739820004,1.512624979019165,0.9020635704199473,0.15770357373423932,72000,60000.0,True,75,75,2
16,4,3,0.95,0.9739258289337158,0.9452550411224365,0.0007707603508606553,0.029560642316937447,0.6727899731695652,0.36859891118620247,72000,60000.0,True,75,75,2
16,4,4,0.85,0.9450111389160156,0.7367271780967712,0.0035479641519486904,0.06452159583568573,0.9059662640094757,0.09373289515468394,72000,64173.913043478264,True,115,115,3
16,4,4,0.9,0.9912016987800598,0.9020264148712158,0.0019566710107028484,0.22239309549331665,0.85799728113672,0.22020299672476848,72000,64173.913043478264,True,115,115,3
16,4,4,0.95,0.9770885705947876,0.9594842791557312,0.00043471064418554306,0.01897396147251129,0.6414981552030202,0.41331942733211874,72000,64173.913043478264,True,115,115,3
16,8,1,0.85,0.0,1.0,0.003297689137980342,0.003297689137980342,0.0,0.0,8000,8000.0,True,12,12,1
16,8,1,0.9,0.0,1.0,0.0014714201679453254,0.0014714201679453254,0.0,0.0,8000,8000.0,True,12,12,1
16,8,1,0.95,0.0,1.0,0.0013431016122922301,0.0013431016122922301,0.0,0.0,8000,8000.0,True,12,12,1
16,8,2,0.85,0.9523861408233643,0.8524495363235474,0.0009971264516934752,0.020942116156220436,0.8626194821463691,0.1841875120349337,72000,52000.0,True,45,45,2
16,8,2,0.9,0.9686605334281921,0.855474591255188,0.0004255205567460507,0.01357810478657484,0.8404637481603358,0.23032014551773122,72000,52000.0,True,45,45,2
16,8,2,0.95,0.8801613450050354,0.9963766932487488,0.00015950277156662196,0.0013310526264831424,0.7287490105463399,0.30793801378932617,72000,52000.0,True,45,45,2
16,8,3,0.85,0.982244610786438,0.799120306968689,0.00032081574317999184,0.018069220706820488,0.8457932619253794,0.18619529453982442,72000,60000.0,True,75,75,2
16,8,3,0.9,0.9878672361373901,0.8298273682594299,0.00013522822700906545,0.011146506294608116,0.7173741661695142,0.3294773674203054,72000,60000.0,True,75,75,2
16,8,3,0.95,0.9658134579658508,0.9910792112350464,3.0491080906358548e-05,0.0008921868284232914,0.5648825139893839,0.44982776203532504,72000,60000.0,True,75,75,2
16,8,4,0.85,0.988827109336853,0.8305485248565674,0.00024356372887268662,0.021800266578793526,0.759061548291989,0.3270448629537759,72000,64173.913043478264,True,115,115,3
16,8,4,0.9,0.9918965101242065,0.8479282259941101,8.479494135826826e-05,0.01046523917466402,0.6550282400788519,0.4240177564644799,72000,64173.913043478264,True,115,115,3
16,8,4,0.95,0.9905278086662292,0.9697365760803223,1.0067098628496751e-05,0.0010638583917170763,0.6107718887261834,0.4557315271773108,72000,64173.913043478264,True,115,115,3
32,2,1,0.85,0.0,1.0,0.03888390585780144,0.03888390585780144,0.0,0.0,8000,8000.0,True,12,12,1
32,2,1,0.9,0.0,1.0,0.02656956948339939,0.02656956948339939,0.0,0.0,8000,8000.0,True,12,12,1
32,2,1,0.95,0.0,1.0,0.013222378678619862,0.013222378678619862,0.0,0.0,8000,8000.0,True,12,12,1
32,2,2,0.85,0.9936373233795166,0.7303873300552368,0.030928248539566994,4.860872745513916,0.7221415915033397,0.32191900841851884,101823,64387.85294117647,True,34,34,2
32,2,2,0.9,0.9863943457603455,0.6758180856704712,0.01937861368060112,1.4243098497390747,0.5765567170946222,0.2939709694414262,101823,68328.3947368421,True,38,38,2
32,2,2,0.95,0.8528212308883667,0.9030716419219971,0.0061448710039258,0.04175112396478653,0.5340960717863507,0.156116884733534,101823,73538.66666666667,True,45,45,2
32,2,3,0.85,0.9932155013084412,0.42705249786376953,0.02414388582110405,3.558682680130005,0.8961166410069716,0.16041107936439053,101823,68328.3947368421,True,38,38,2
32,2,3,0.9,0.8752278685569763,0.4095805287361145,0.013068089261651039,0.10473568737506866,0.806796305709415,0.123399654116368,101823,73538.66666666667,True,45,45,2
32,2,3,0.95,0.837940514087677,0.566960334777832,0.004646601155400276,0.028672246262431145,0.7280810789267222,0.16756338154312378,101823,84852.4,True,75,75,2
32,2,4,0.85,0.7356167435646057,0.35625511407852173,0.01912529580295086,0.07233931124210358,0.7462596673341024,0.13284771007143295,101823,71518.35714285714,True,42,42,2
32,2,4,0.9,0.7851290702819824,0.6250976920127869,0.010274704545736313,0.04781806468963623,0.78358434789321,0.10263794877732087,101823,86848.94117647059,True,85,85,3
32,2,4,0.95,0.8799756765365601,0.5802482962608337,0.00426741037517786,0.03555462136864662,0.525368895770415,0.28119433918790904,101823,90755.21739130435,True,115,115,3
32,4,1,0.85,0.0,1.0,0.032302044332027435,0.032302044332027435,0.0,0.0,8000,8000.0,True,12,12,1
32,4,1,0.9,0.0,1.0,0.020824482664465904,0.020824482664465904,0.0,0.0,8000,8000.0,True,12,12,1
32,4,1,0.95,0.0,1.0,0.008492453023791313,0.008492453023791313,0.0,0.0,8000,8000.0,True,12,12,1
32,4,2,0.85,0.9956209063529968,0.7112641334533691,0.02010197564959526,4.590464115142822,0.9716034029659472,0.06151075879862073,101823,68328.3947368421,True,38,38,2
32,4,2,0.9,0.9987112283706665,0.6472132205963135,0.011899477802217007,9.23348331451416,0.9627067976527743,0.10272097396114584,101823,73538.66666666667,True,45,45,2
32,4,2,0.95,0.9847071766853333,0.7981394529342651,0.003562502097338438,0.23295341432094574,0.9064377778106265,0.1348639290395977,101823,73538.66666666667,True,45,45,2
32,4,3,0.85,0.9965082406997681,0.6404033303260803,0.012617595493793488,3.61350417137146,0.9702197114626566,0.06760581050065888,101823,73538.66666666667,True,45,45,2
32,4,3,0.9,0.9959807991981506,0.6043646335601807,0.007408848963677883,1.8433644771575928,0.9486827039718628,0.0667976473646853,101823,84852.4,True,75,75,2
32,4,3,0.95,0.9939887523651123,0.7886055707931519,0.002676658798009157,0.44527748227119446,0.766764421860377,0.27537622622326785,101823,84852.4,True,75,75,2
32,4,4,0.85,0.9898478388786316,0.6032384634017944,0.010176287963986397,1.002376675605774,0.9317756743992076,0.09566458374756784,101823,86848.94117647059,True,85,85,3
32,4,4,0.9,0.9826126098632812,0.6944647431373596,0.0057411156594753265,0.3301885724067688,0.8914219731869905,0.11254593349183449,101823,90755.21739130435,True,115,115,3
32,4,4,0.95,0.9907404780387878,0.8169061541557312,0.0021550103556364775,0.23273558914661407,0.7709773614354756,0.28473622646521246,101823,90755.21739130435,True,115,115,3
32,8,1,0.85,0.0,1.0,0.019856248050928116,0.019856248050928116,0.0,0.0,8000,8000.0,True,12,12,1
32,8,1,0.9,0.0,1.0,0.011408466845750809,0.011408466845750809,0.0,0.0,8000,8000.0,True,12,12,1
