n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
16,2,1,0.85,0.032727295532226565,0.0,0.0
16,2,1,0.9,0.021449222412109375,0.0,0.0
16,2,1,0.95,0.010656195678710937,0.0,0.0
16,2,2,0.85,0.021784396362304687,0.010942899169921878,0.33436613053304104
16,2,2,0.9,0.01081720703125,0.010632015380859375,0.4956830218170037
16,2,2,0.95,0.003249557189941406,0.00740663848876953,0.6950546622906515
16,2,3,0.85,0.011643134460449218,0.021084161071777345,0.644237806054453
16,2,3,0.9,0.007480409698486328,0.013968812713623047,0.6512503085303835
16,2,3,0.95,0.0025197071838378906,0.008136488494873046,0.7635453345820414
16,2,4,0.85,0.009438090057373047,0.023289205474853518,0.7116141158660861
16,2,4,0.9,0.006467029724121094,0.014982192687988281,0.6984958428856578
16,2,4,0.95,0.0022456015396118164,0.00841059413909912,0.789267989504162
16,4,1,0.85,0.019805762023925783,0.0,0.0
16,4,1,0.9,0.011334625854492188,0.0,0.0
16,4,1,0.95,0.004692580184936524,0.0,0.0
16,4,2,0.85,0.009457027893066407,0.010348734130859375,0.5225112832496869
16,4,2,0.9,0.004794340133666992,0.006540285720825196,0.5770182275785594
16,4,2,0.95,0.0015439028167724609,0.0031486773681640625,0.6709906371491561
16,4,3,0.85,0.006561952667236328,0.013243809356689454,0.6686846656387495
16,4,3,0.9,0.003299041061401367,0.00803558479309082,0.7089413357130022
16,4,3,0.95,0.0009721695137023926,0.003720410671234131,0.792828364057983
16,4,4,0.85,0.0037850190734863283,0.016020742950439454,0.808893034819163
16,4,4,0.9,0.0022641263580322267,0.009070499496459961,0.8002469259155212
16,4,4,0.95,0.0006274624919891357,0.004065117692947388,0.866286250365347
16,8,1,0.85,0.003466068115234375,0.0,0.0
16,8,1,0.9,0.0015494213485717774,0.0,0.0
16,8,1,0.95,0.0013635641479492187,0.0,0.0
16,8,2,0.85,0.001284163818359375,0.0021819042968750004,0.6295041598533214
16,8,2,0.9,0.0004771539878845215,0.001072267360687256,0.6920437501881902
16,8,2,0.95,0.0001685567569732666,0.001195007390975952,0.8763851651374278
16,8,3,0.85,0.0004980095005035401,0.002968058614730835,0.8563186054207521
16,8,3,0.9,0.00016667948722839354,0.0013827418613433838,0.8924246865566716
16,8,3,0.95,4.9985356330871585e-05,0.0013135787916183472,0.9633421306903318
16,8,4,0.85,0.0003568226909637451,0.00310924542427063,0.8970526028050615
16,8,4,0.9,0.0001323027515411377,0.0014171185970306398,0.9146115085718346
16,8,4,0.95,2.569520890712738e-05,0.0013378689390420914,0.981155848849669
32,2,1,0.85,0.03871657958984375,0.0,0.0
32,2,1,0.9,0.026492921752929686,0.0,0.0
32,2,1,0.95,0.013417623596191407,0.0,0.0
32,2,2,0.85,0.03137774658203125,0.007338833007812504,0.1895527209675735
32,2,2,0.9,0.019820680236816407,0.0066722415161132795,0.2518499687704486
32,2,2,0.95,0.0066174462890625,0.006800177307128907,0.5068093659341537
32,2,3,0.85,0.023122569580078123,0.015594010009765628,0.4027734416357455
32,2,3,0.9,0.01381461181640625,0.012678309936523436,0.4785546137477804
32,2,3,0.95,0.005194398193359375,0.008223225402832032,0.6128674980244784
32,2,4,0.85,0.019266715393066406,0.019449864196777345,0.5023652503094435
32,2,4,0.9,0.010920699462890626,0.01557222229003906,0.587788030148733
32,2,4,0.95,0.004820348739624024,0.008597274856567383,0.6407449720834113
32,4,1,0.85,0.03248231140136719,0.0,0.0
32,4,1,0.9,0.02080011535644531,0.0,0.0
32,4,1,0.95,0.008624722747802734,0.0,0.0
32,4,2,0.85,0.020216884765625,0.012265426635742191,0.37760325871470884
32,4,2,0.9,0.011810719909667968,0.008989395446777343,0.4321800765394221
32,4,2,0.95,0.004342895278930664,0.00428182746887207,0.49645972329521243
32,4,3,0.85,0.01255727325439453,0.01992503814697266,0.6134119552260068
32,4,3,0.9,0.007885377197265625,0.012914738159179687,0.6208974295509284
32,4,3,0.95,0.0032873776245117186,0.005337345123291016,0.6188425157957428
32,4,4,0.85,0.010333656311035156,0.022148655090332033,0.6818681964054993
32,4,4,0.9,0.005992190399169922,0.014807924957275391,0.7119155208284397
32,4,4,0.95,0.0026761705780029297,0.005948552169799805,0.6897093789264448
32,8,1,0.85,0.019656636352539062,0.0,0.0
32,8,1,0.9,0.011303085327148438,0.0,0.0
